incidentID,totDeadMissing,totalMigrants,xCoord,yCoord
2022.MMP00042,2,105,27.69795472,-16.76125763
2022.MMP00043,7,287,35.49863529,12.57071102
2022.MMP00044,18,27,28.55,-12.868333
2022.MMP0004548,35,36,27.472933,-80.28116576
2022.MMP0004549,3,3,27.472933,-80.28116576
2022.MMP0004550,1,1,27.472933,-80.28116576
2022.MMP00046,1,1,36.7158189,-4.411426992
2022.MMP00047,1,1,36.74901036,-3.868632603
2022.MMP00048,1,1,36.48472671,-4.746799679
2022.MMP00049,36,70,33.78381033,11.4102882
2022.MMP00050,1,1,50.96380982,1.834078038
2022.MMP00051,1,1,8.366314192,-72.40662219
2022.MMP00052,1,1,-19.28005209,-68.63484544
2022.MMP00053,2,8,14.95593951,-89.54122575
2022.MMP00054,15,27,18.63878486,-67.08567576
2022.MMP00055,1,1,32.79329993,13.74138609
2022.MMP00056,1,1,32.79329993,13.74138609
2022.MMP0005763,28,34,32.79249375,12.67770508
2022.MMP0005864,3,3,32.79249375,12.67770508
2022.MMP00059,1,1,32.78139351,13.8601055
2022.MMP00060,2,2,32.79545424,12.78157343
2022.MMP00061,1,3,38.40871794,26.25946236
2022.MMP00062,1,1,39.32067586,26.70845086
2022.MMP00063,1,1,32.88625199,21.52221671
2022.MMP0006471,3,3,35.21131953,-2.986303099
2022.MMP0006472,1,1,35.17617641,-2.935177231
2022.MMP0006573,13,16,40.859587,26.297187
2022.MMP0006574,5,5,40.859587,26.297187
2022.MMP0006575,1,1,40.859587,26.297187
2022.MMP00066,4,18,2.023621734,101.9179966
2022.MMP00067,17,58,27.75151922,-14.28695059
2022.MMP00068,1,1,43.79248332,7.581905364
2022.MMP00069,1,1,32.81201076,12.90201698
2022.MMP00070,1,1,45.190299,6.628727
2022.MMP00071,1,1,45.057168,6.862633
2022.MMP00072,1,20,9.984321425,-61.6035751
2022.MMP00073,2,9,33.7984067,-7.22769852
2022.MMP00074,1,1,-26.211245,30.990034
2022.MMP00075,1,1,-35.85305014,-71.18333152
2022.MMP00076,1,1,31.76460537,-106.4487466
2022.MMP00077,1,1,29.23324883,-99.78876683
2022.MMP00078,2,2,40.99209123,26.35304781
2022.MMP00079,1,9,14.08654531,99.12858445
2022.MMP00080,3,68,26.381286,-15.620547
2022.MMP00081,8,8,27.025788,-98.167336
2022.MMP00082,1,1,32.78363821,12.78293564
2022.MMP00083,2,2,30.96719517,20.11736153
2022.MMP00084,4,57,25.715333,-15.8775
2022.MMP00085,2,2,42.22988914,21.69801039
2022.MMP00086,1,1,38.31746563,26.36375539
2022.MMP00087,1,1,35.37581957,-4.976420298
2022.MMP00088,1,1,-16.56481342,-69.03785951
2022.MMP00090,1,1,11.22186887,-85.60974152
2022.MMP00091,1,1,28.75465961,-100.5020839
2022.MMP00092,1,1,29.3304148,-100.9348289
2022.MMP00093,6,6,1.064398031,-77.428354
2022.MMP00094,1,1,45.341107,14.675023
2022.MMP00095,1,334,35.68787673,32.837824
2022.MMP00096105,3,21,35.06692874,11.718865
